Time,X,Y,Z,Vx,Vy,Vz,dVel_X,dVel_Y,dVel_Z,Alt(m)
     1.000,-2898223.01,4027640.48,3994030.69,    -10.31,      4.23,      7.68,    -10.31,   4.23464,   7.68321,     58.28
     2.000,-2898250.63,4027649.17,3994049.56,    -21.85,      7.21,     15.14,    -11.54,   2.97611,   7.45338,     88.17
     3.000,-2898287.50,4027664.35,3994077.06,    -31.86,     12.52,     23.38,    -10.01,   5.30697,   8.24089,    131.78
     4.000,-2898332.32,4027687.94,3994113.84,    -40.50,     19.90,     32.32,     -8.64,   7.38467,   8.93850,    190.16
     5.000,-2898385.40,4027719.63,3994159.84,    -48.89,     27.76,     41.44,     -8.38,   7.86052,   9.12520,    263.20
     6.000,-2898449.88,4027756.05,3994214.34,    -59.28,     33.53,     50.15,    -10.39,   5.77023,   8.70512,    349.74
     7.000,-2898527.15,4027795.86,3994277.13,    -71.27,     37.72,     58.57,    -11.99,   4.18478,   8.42422,    449.44
     8.000,-2898618.15,4027838.18,3994348.05,    -84.42,     40.78,     66.81,    -13.15,   3.06362,   8.23535,    562.07
     9.000,-2898723.68,4027882.19,3994426.97,    -98.50,     42.94,     74.88,    -14.07,   2.15500,   8.07574,    687.40
    10.000,-2898844.53,4027927.07,3994513.71,   -113.40,     44.23,     82.79,    -14.90,   1.29752,   7.90467,    825.16
    11.000,-2898981.45,4027971.94,3994608.05,   -129.08,     44.66,     90.49,    -15.69,   0.42454,   7.70294,    974.99
    12.000,-2899135.20,4028015.87,3994709.73,   -145.52,     44.17,     97.95,    -16.44,  -0.48521,   7.46283,   1136.49
    13.000,-2899306.47,4028057.89,3994818.45,   -162.69,     42.74,    105.13,    -17.17,  -1.43718,   7.18102,   1309.17
    14.000,-2899495.96,4028096.98,3994933.87,   -180.55,     40.30,    111.99,    -17.86,  -2.43212,   6.85564,   1492.49
    15.000,-2899704.29,4028132.08,3995055.59,   -199.07,     36.83,    118.47,    -18.52,  -3.46939,   6.48529,   1685.81
    16.000,-2899932.06,4028162.09,3995183.17,   -218.21,     32.29,    124.54,    -19.13,  -4.54773,   6.06882,   1888.44
    17.000,-2900179.82,4028185.88,3995316.12,   -237.91,     26.62,    130.15,    -19.71,  -5.66549,   5.60529,   2099.62
